,name,id
0,Jax,24
1,Sona,37
2,Tristana,18
3,Varus,110
4,Fiora,114
5,Singed,27
6,Tahm Kench,223
7,LeBlanc,7
8,Thresh,412
9,Karma,43
10,Jhin,202
11,Rumble,68
12,Udyr,77
13,Lee Sin,64
14,Yorick,83
15,Ornn,516
16,Kayn,141
17,Kassadin,38
18,Sivir,15
19,Miss Fortune,21
20,Draven,119
21,Yasuo,157
22,Kayle,10
23,Shaco,35
24,Renekton,58
25,Hecarim,120
26,Fizz,105
27,KogMaw,96
28,Maokai,57
29,Lissandra,127
30,Jinx,222
31,Urgot,6
32,Fiddlesticks,9
33,Galio,3
34,Pantheon,80
35,Talon,91
36,Gangplank,41
37,Ezreal,81
38,Gnar,150
39,Teemo,17
40,Annie,1
41,Mordekaiser,82
42,Azir,268
43,Kennen,85
44,Riven,92
45,ChoGath,31
46,Aatrox,266
47,Poppy,78
48,Taliyah,163
49,Illaoi,420
50,Heimerdinger,74
51,Alistar,12
52,Xin Zhao,5
53,Lucian,236
54,Volibear,106
55,Sejuani,113
56,Nidalee,76
57,Garen,86
58,Leona,89
59,Zed,238
60,Blitzcrank,53
61,Rammus,33
62,VelKoz,161
63,Caitlyn,51
64,Trundle,48
65,Kindred,203
66,Quinn,133
67,Ekko,245
68,Nami,267
69,Swain,50
70,Taric,44
71,Syndra,134
72,Rakan,497
73,Skarner,72
74,Braum,201
75,Veigar,45
76,Xerath,101
77,Corki,42
78,Nautilus,111
79,Ahri,103
80,Jayce,126
81,Darius,122
82,Tryndamere,23
83,Janna,40
84,Elise,60
85,Vayne,67
86,Brand,63
87,Graves,104
88,Soraka,16
89,Xayah,498
90,Karthus,30
91,Vladimir,8
92,Zilean,26
93,Katarina,55
94,Shyvana,102
95,Warwick,19
96,Ziggs,115
97,Kled,240
98,KhaZix,121
99,Olaf,2
100,Twisted Fate,4
101,Nunu,20
102,Rengar,107
103,Bard,432
104,Irelia,39
105,Ivern,427
106,Wukong,62
107,Ashe,22
108,Kalista,429
109,Akali,84
110,Vi,254
111,Amumu,32
112,Lulu,117
113,Morgana,25
114,Nocturne,56
115,Diana,131
116,Aurelion Sol,136
117,Zyra,143
118,Viktor,112
119,Cassiopeia,69
120,Nasus,75
121,Twitch,29
122,DrMundo,36
123,Orianna,61
124,Evelynn,28
125,RekSai,421
126,Lux,99
127,Sion,14
128,Camille,164
129,Master Yi,11
130,Ryze,13
131,Malphite,54
132,Anivia,34
133,Shen,98
134,Jarvan IV,59
135,Malzahar,90
136,Zac,154
137,Gragas,79
